id,act,tier,start_tc,end_tc,duration_s,speech_ratio,text,reason
K035,2,SHOULD,00:11:15:04,00:11:29:03,14.0,0.76,"Yeah, yeah, yeah. Our Moscow wants to fight you, by the way. Nothing against you. It's just mascot beef, I guess. Yeah, yeah. He like when you left. He pointed and he was like, yeah, you're a fighter.","'Our mascot wants to fight you... it's just mascot beef, I guess.' Plants the callback that pays off at 1:04:06."
K036,2,OPTIONAL,00:11:29:09,00:11:44:10,15.04,0.9,"Yeah, I'm the judo coach. Oh, yeah? Yeah. So then he founded a judo club as well as at the same time as you started the business. And yeah, I hired me a few years ago, and. And he was like, you shoul…",How Malcolm got hired - founded the judo club at the same time as the business. Repeated in the dinner speech.
X016,2,CUT,00:11:44:10,00:12:03:09,19.0,0.73,"Yeah, yeah. Rob Bridges to the social media. Yeah, I do follow him. Yeah, yeah. He's excellent. He's awesome. Yeah, that's a lot of stuff. Yeah. A few brands that he does. Yeah, yeah, I think so. A b…","Small talk about following each other on social media. Tangent, no connection to the premise."
K037,2,OPTIONAL,00:12:03:09,00:12:07:19,4.4,0.93,"I'm still new to it. Takes me out of my comfort zone, which I guess is good, right?","'Takes me out of my comfort zone, which I guess is good, right?' - small honest aside."
X017,2,CUT,00:12:07:19,00:12:19:07,11.5,0.56,"But, Yeah. Cool. You guys here all day? Not better than that man. Let me know what I'm going to say first. What do I have to say?","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K038,2,OPTIONAL,00:12:19:07,00:12:28:17,9.44,0.57,"George, what are you doing? What do we do? What I'm doing. I'm eating candy. Oh, yeah. All right.","'George, what are you doing?' / 'I'm eating candy.' - light."
X018,2,CUT,00:12:28:17,00:12:41:08,12.64,0.7,"You have your your script for. Yeah. Yeah, yeah. Okay. All right, so we're here with the Green Foot team. So what's your connection with the premium group?","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K039,2,MUST,00:12:41:08,00:12:51:12,10.18,0.85,"Are you recording right now? I think so. Oh, you just want to think about your answer. Well, I mean, how do I answer that? Because that's really new, right? Yeah. And I'm not sure if I should answer…",Best awkward laugh in the act: 'Are you recording right now?... I'm not sure if I should answer that on camera.'
X019,2,CUT,00:12:51:12,00:12:53:11,1.96,0.41,All right.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K040,2,OPTIONAL,00:12:53:11,00:13:21:04,27.72,0.93,"Okay. So we're with green foot. Can I ask, what does Green Foot do? Absolutely. So Green Foot's all over Atlantic Canada. We do residential, commercial and multi unit for HVAC, insulation, solar and…","Green Foot explains itself and the candy bar - 'everybody loves a good sugar rush halfway through the day'. Sponsor context, not story."
K041,2,OPTIONAL,00:13:22:06,00:13:46:05,23.96,0.76,"I'm the Yeti teddies. Yeah. These are these are really nice. We'll need to get our our own version of this. I like these. Yeah. I guess I'll keep it. I'll, I'll bring it at the. At the office. We'll…",Yeti teddies tangent - charming but goes nowhere.
X020,2,CUT,00:13:46:05,00:14:27:10,41.25,0.67,"Good. You're for sure more. I'm the social media guy. Okay. Yeah, I saw his profile. I think his profile. Yeah. Yeah, I think his profile. Yeah. He showed. Jeremiah told me about him. Yeah. Yeah. And…","LinkedIn tangent, then three repeated attempts at the 'Glen Arbor / Premium group' B-roll line. Keeping only the last take."
G002,2,OPTIONAL,00:14:27:10,00:14:38:06,10.84,0.0,(no dialogue),"possible visual moment, needs human review"
X021,2,CUT,00:14:38:06,00:14:47:06,9.0,0.45,"Golf club? Yeah. It's gonna be like, why are you talking? Premium group.","LinkedIn tangent, then three repeated attempts at the 'Glen Arbor / Premium group' B-roll line. Keeping only the last take."
G003,2,OPTIONAL,00:14:47:06,00:15:05:12,18.28,0.0,(no dialogue),"possible visual moment, needs human review"
K042,2,OPTIONAL,00:15:05:12,00:15:16:19,11.32,0.31,Premium group. Built with heart. He's setting up.,'Premium group. Built with heart.' - the clean last take of the tagline piece; earlier takes cut.
X022,2,CUT,00:15:16:19,00:15:18:21,2.08,0.0,(no dialogue),Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K043,2,OPTIONAL,00:15:18:21,00:15:29:16,10.8,0.57,"There you go. Right down the middle. Oh. Bit to the right. That's all right. Yes, sir. Yes, sir.",First tee shot called live - 'Right down the middle. Bit to the right. That's all right.'
X023,2,CUT,00:15:29:16,00:15:33:08,3.69,0.13,We got to.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
G004,2,OPTIONAL,00:15:33:08,00:15:41:20,8.49,0.0,(no dialogue),"possible visual moment, needs human review"
G005,2,OPTIONAL,00:15:42:07,00:15:56:03,13.83,0.0,(no dialogue),"possible visual moment, needs human review"
K044,2,SHOULD,00:15:56:03,00:16:14:21,18.76,0.7,"Yeah, I think the news is the one they're gonna use. Yeah. Yeah. You got a shot in there if you need it, but you're in the fairway, so have fun. There's no way I would hit a ball like that. Oh, yeah?…","'There's no way I would hit a ball like that... There's just no way, I suck at it.' Sets up the celebrity shot payoff in act 3."
X024,2,CUT,00:16:14:21,00:16:39:12,24.66,0.62,"Yeah. Glen Arbor golf club. Okay, let's get one before they start. Like hitting it right here. Yeah. Glen Arbor golf Club. Glen Arbor golf club. All right. Today we're at Glen Arbor Golf Club for Pre…","First flubbed take of the piece to camera, immediately redone."
K045,2,OPTIONAL,00:16:39:12,00:16:56:21,17.4,0.72,You mean to say anything else? I think you kind of messed it up. Okay. All right. I'm sorry. Okay. All right. Today we're at Glen Arbor Golf Club for Premium Group's first ever annual golf tournament…,"'I think you kind of messed it up' then the clean take of the piece to camera. Fun, but the same info is in the speech."
X025,2,CUT,00:16:56:21,00:17:21:21,25.0,0.77,"Beautiful. Can you explain? Kind of like the dynamic of, the the tournament? Yeah, sure. So today we got teams of four with premium groups, own personnel, own employees. This, like a an appreciation…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K046,2,OPTIONAL,00:17:21:21,00:17:33:08,11.48,0.91,"Okay. So this is an appreciation event for our suppliers, our clients and other companies that we work with just to have some fun and to. Yeah, enjoy the golf, I guess.","Clean one-line statement of the premise: an appreciation event for suppliers, clients and partners."
X026,2,CUT,00:17:33:08,00:18:04:05,30.92,0.75,"I don't know. We have some prices. No. Yeah. Yeah, sure. Sure. Yeah. Yeah. Okay. How do we get the tickets? They got a few a few games and stuff. Few challenges that will highlight later. Yeah. So st…",Re-negotiating on camera how to phrase the raffle explanation - the answer that follows is the one to keep.
K047,2,OPTIONAL,00:18:04:05,00:18:15:14,11.36,0.96,"Yeah, yeah. Okay, so we got a few challenges set up for everyone at the golf tournament. Few games and each game can give you some raffle tickets. And at the end, we'll have some prizes for everyone.",Challenges and raffle tickets restated. Third time this point is made - keep only if the earlier two are cut.
X027,2,CUT,00:18:15:14,00:18:49:02,33.55,0.55,"Beautiful. Yeah. To put things. You guys will record it. Okay, so we're here with Elizabeth. Are you filming? Are you ready? If you want me to. To do something. Okay, we're gonna do a. He needs to sp…",Spanish-language interview bit. Not in English.
K060,3,OPTIONAL,00:18:49:02,00:19:03:00,13.92,0.62,"How do you say I play golf in Spanish? Yo! Yo, Hugo. Hugo. Fuego! Fuego is fire. Hugo. Hugo. Golf.","'How do you say I play golf in Spanish?' - funny, but most of the exchange is not in English."
X028,3,CUT,00:19:03:00,00:19:39:14,36.64,0.64,"So it's like a gun. I like to win the money to. So why don't we go? That's all I know I need, I know no. Oh, did we want to get an interview with these guys? No, we need to rush. Okay, okay. Well, I…",Continuation of the Spanish bit. Not in English.
K061,3,SHOULD,00:19:39:14,00:20:03:02,23.52,0.86,"Look forward. Don't throw us into a lake. Elizabeth, please. Why not? You don't know how to swim. Well, yeah. I don't want to ruin this nice new quarter. ZIP from premium. Yeah. No, no, I stained min…","'Don't throw us into a lake, Elizabeth' plus the stained-shirt story landing on 'Premium. We care about each other.'"
X029,3,CUT,00:20:03:02,00:20:05:02,2.0,0.46,All the time.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K062,3,SHOULD,00:20:05:02,00:20:26:00,20.92,0.87,So we're gonna go ask some questions to the players. We're going to ask them first off who's winning. Which makes no sense because they're a team. And we ask them who's the best player on their team.…,"The plan for the day, stated on camera: ask who's winning, who's the best player, what their connection to Premium is."
X030,3,CUT,00:20:26:00,00:20:28:01,2.04,0.37,All right.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K063,3,OPTIONAL,00:20:28:01,00:20:35:03,7.12,0.74,"I think we should have air horns. And when they're doing their driving, they would get so mad. Do you think. Oh yeah.",'I think we should have air horns' - one-line gag.
X031,3,CUT,00:20:35:03,00:21:04:13,29.44,0.49,"Yeah. That's Remi Young last group. That's the last group. Yeah. So we're gonna make sure that we're in front of these guys. Hey. Who's winning? Who's winning them? Oh, yeah. Oh, a bit far. Oh, that'…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K064,3,OPTIONAL,00:21:04:13,00:21:10:15,6.08,0.85,"In Wii Sports, they would say nice shot. I remember that, I think. Nice shot.","'In Wii Sports, they would say nice shot.'"
X032,3,CUT,00:21:10:15,00:21:20:07,9.68,0.24,"I think so, yeah. Let's see. Where do you like.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K065,3,MUST,00:21:20:07,00:21:53:05,32.96,0.73,So this is my first time driving. I haven't drive before. A golf cart or in general. Are you serious? This is my first time. What about a car? I know I started one month ago. How do you get at the of…,"The reveal that powers the running gag: Elizabeth has never driven anything before, started learning a month ago, and is driving the cart. 'I wasn't scared before, but I am now.'"
X033,3,CUT,00:21:53:05,00:22:04:23,11.76,0.65,"So do you want to stay here, or do you want me to go to the next one? We can ask some questions to this, gentleman.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
G006,3,OPTIONAL,00:22:04:23,00:22:17:12,12.52,0.0,(no dialogue),"possible visual moment, needs human review"
X034,3,CUT,00:22:17:12,00:22:43:00,25.56,0.52,"Want to see somebody I put on the first? Oh, Remy, is that you? Are you that somebody? Oh, yeah. I go to the next one. Okay, okay. Have you done a lot of things to that? Have you done a lot of things…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K066,3,SHOULD,00:22:43:00,00:22:49:20,6.84,0.81,"A little bit of you. Oh, I think I dropped my my mic. Shit. He's gonna kill me.",'I think I dropped my mic. Shit. He's gonna kill me.' - genuine panic.
X035,3,CUT,00:22:49:20,00:23:45:07,55.51,0.6,"Well, you were not what? You were not. No, I am, it's just fell on the ground. Oh. So close. You know how to play. I know how I'm just not good. My soul is texting me. What does she want? Oh, she jus…","Raffle-ticket logistics over the phone - who has the tickets, which hole. Pure admin."
G007,3,OPTIONAL,00:23:45:07,00:23:58:20,13.53,0.0,(no dialogue),"possible visual moment, needs human review"
X036,3,CUT,00:23:58:20,00:24:00:10,1.6,0.99,Bang! What was that?,"Raffle-ticket logistics over the phone - who has the tickets, which hole. Pure admin."
G008,3,OPTIONAL,00:24:00:10,00:24:18:02,17.68,0.0,(no dialogue),"possible visual moment, needs human review"
K067,3,MUST,00:24:18:02,00:24:24:14,6.52,0.68,You have that on camera? I hope so. That's the first video we are gonna post.,'You have that on camera? That's the first video we are gonna post. Remi messing up.' Pure vlog.
X037,3,CUT,00:24:24:14,00:24:26:12,1.92,0.6,Remi messing up.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
G009,3,OPTIONAL,00:24:26:12,00:24:42:14,16.08,0.0,(no dialogue),"possible visual moment, needs human review"
K068,3,MUST,00:24:42:14,00:25:01:23,19.4,0.66,"Especially with five players on our team. So, Remi, who's the best player on this team right now? So far, it's the trees. Trees have been the best. Oh, that was close. You just missed that. That was…","'Who's the best player on this team?' / 'So far, it's the trees.' plus 'We're looking for bad shots, not good shots' - the editorial premise, said out loud."
X038,3,CUT,00:25:01:23,00:25:07:09,5.44,0.46,"You guys having fun? Hang around me all day. Oh, yeah?",Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K069,3,OPTIONAL,00:25:07:09,00:25:19:20,12.44,0.72,"Yeah. Good thing they didn't ask me to play cause I've never played. All right, Elizabeth, try not to hit anybody. Should hit a couple. Oh. Maybe later. Maybe later.","'Good thing they didn't ask me to play cause I've never played' / 'Elizabeth, try not to hit anybody.'"
X039,3,CUT,00:25:19:20,00:25:27:21,8.08,0.48,"John said he'd let me hit a ball or two. Oh, that's nice game.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K070,3,MUST,00:25:27:21,00:25:42:08,14.44,0.52,Yeah. What are you doing? Careful. Brakes! What? I thought you. I don't know how to drive. This is one of the premium tents.,Golf cart gag escalates: 'Careful. Brakes! What? I don't know how to drive.'
X040,3,CUT,00:25:42:08,00:26:20:19,38.51,0.5,"I think so, yeah, yeah. Let's stop by and say hi. Who's that? That tent is this whole number two. Three. Well, they are blocking me. Oh, no. This is 808. Okay. Okay. You can go to the side here besid…","Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K071,3,OPTIONAL,00:26:20:19,00:26:38:03,17.34,0.71,We're up by one. I don't know. Maybe I want to give the job. We think that you will fire you because you hit Remy. I don't think so. I think it'll be fine. I think. About on camera. Please know I was…,"'They'll fire you because you hit Remy' / 'I was fighting for my life, I was scared.'"
X041,3,CUT,00:26:38:03,00:27:02:13,24.44,0.48,"Oh, my, I wasn't scared. Well it was to. Now. Inclined. Inclined. Inclined in. Espanol. Muito bomb. No, that's a that's in Portuguese. Mucho mucho bueno. Muy bueno. Mucho bueno.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K072,3,OPTIONAL,00:27:02:13,00:27:12:15,10.12,0.75,"No, I don't think so. Mucho is like many. Yeah. Yeah. Many. Good. That's what I mean. My Spanish is many good. That's what I'm trying to say.",'Mucho is like many. My Spanish is many good.' - the joke is in English even though the subject isn't.
X042,3,CUT,00:27:12:15,00:27:14:09,1.76,0.39,Okay.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K073,3,OPTIONAL,00:27:14:09,00:27:22:00,7.6,0.67,Oh shit. We could get hit by a ball like that would be hilarious. If you listen the camera.,"'We could get hit by a ball, that would be hilarious.'"
X043,3,CUT,00:27:22:00,00:27:33:21,11.9,0.56,"Yes. You have the map a little bit. Yeah. That's a. It is a bit. We arrive in someone's house. Hey, sir. Stay on the path. There's a bit.","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K074,3,MUST,00:27:33:21,00:28:07:00,33.16,0.61,"Oh my goodness. This. This is a really nice golf course. This is gonna be crazy. Okay. There's a break, by the way. Yeah, I know. I'm just gonna open. My gosh. Forge. Get ready to jump out. Elizabeth…",Peak of the cart gag and the best reaction in the video: 'This is a really nice golf course' straight into 'Press the brake! Keep your foot on the brake!' and 'Trust her. You're gonna survive. Just breathe.'
X044,3,CUT,00:28:07:00,00:28:16:07,9.32,0.4,"Hello? How are you doing? How are you? Are you guys. Good, good. You guys?","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K075,3,OPTIONAL,00:28:16:07,00:28:38:16,22.36,0.85,"Yeah. You guys went to a tournament? Yes, yes. How's it going? Who's the best on the team so far is a team. Yeah, a little mix. Okay. Like pretty balanced. Yeah. All right. Awesome. And what company…","Lindsay Construction team chat - polite, generic, no story movement."
X045,3,CUT,00:28:38:16,00:29:21:01,42.44,0.8,"There you go. Cool. Yeah. Yeah, yeah. Okay. We were all over land in Canada, but our head office is Dartmouth. Yeah. Oh, yeah, cause I've seen an office in Moncton. Yes. Yeah, yeah, we have a mountai…","Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K076,3,MUST,00:29:21:01,00:29:41:17,20.68,0.87,"She's hr. Yeah, yeah. Well she's. Yeah. You're too much. You're you're shooting the meeting. She does everything. She does everything. She's in every meeting. Yeah. Yeah. Without her premium would no…","Pays the gag off perfectly: 'She does everything. Without her Premium would not work... yeah, but don't trust her behind the wheel of a golf cart.'"
K077,3,MUST,00:29:42:18,00:29:54:12,11.76,0.68,Yeah. You guys want a celeb shot? Oh. What? What's that? Swing cross. Oh. No way. Really? I've never played golf in my life.,'You guys want a celeb shot?' / 'I've never played golf in my life.' - the decision that drives the next four minutes.
X046,3,CUT,00:29:54:12,00:30:10:03,15.64,0.65,"Do you think it's being left or right? Right. For sure. Yeah. Yeah. Well, like I fit. I fit golf the golf balls, like, at our range. But I've never really been good. I've never been good, ever. These…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K078,3,OPTIONAL,00:30:10:03,00:30:29:06,19.16,0.78,"Okay. All right. So you can do it. Really? Okay. Oh my goodness. I'm so stressed now. No no no. Okay okay. Should I take them off? Probably no. My gosh. Make that shot. All right, all right. Yes. Tha…",Build-up nerves before the swing - 'I'm so stressed now' / 'I only play mini.'
X047,3,CUT,00:30:29:06,00:31:01:02,31.84,0.68,Of course. Okay. Thank you. Yeah. I'm the judo coach for the. At the 12th hole. There's the judo tent. I'm their coach. And then he hired me with premium as well. So I'm more of a judo guy than a gol…,"Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K079,3,OPTIONAL,00:31:01:02,00:31:09:01,8.0,0.67,"Hey, where? You're not posting this, Directly to Facebook. Unedited. No no no no no no.","'You're not posting this directly to Facebook, unedited?'"
X048,3,CUT,00:31:09:01,00:31:12:05,3.16,0.41,I'm gonna take these off.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K080,3,SHOULD,00:31:12:05,00:31:29:04,16.96,0.7,"Okay. All right. You're all looking at me. It's just stressing me out. I'm going to stretch first. One second. Oh. Yes, of course I am. Yeah. I'm also like very not flexible. So we will see.","'You're all looking at me, it's just stressing me out. I'm going to stretch first... I'm also like very not flexible.'"
X049,3,CUT,00:31:29:04,00:31:36:19,7.64,0.31,I hear like you don't. You should not put.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K081,3,MUST,00:31:36:19,00:32:04:02,27.32,0.49,"This is my first I haven't I don't do this okay. Is that good. I don't look okay. Okay okay. Ready? That was. That was really bad, Hit. But you hit it. I hit it. Yeah. All right. That was terrible. Y…",The swing itself and the honest reaction: 'That was really bad.' / 'But you hit it.' / 'That was terrible.'
K082,3,OPTIONAL,00:32:04:03,00:32:19:11,15.36,0.73,"Okay, well, thanks for giving me the opportunity, though. I hope I didn't hit anyone yet. Yeah. Every time I went to the here, the driving range, I would always hit that way. I don't know why, but we…",'I hope I didn't hit anyone' plus the driving-range explanation.
X050,3,CUT,00:32:19:11,00:32:21:08,1.88,0.91,"All right, well.",Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K083,3,MUST,00:32:21:08,00:32:31:04,9.84,0.73,"Thank you. That's what it was. That was really fun. What a rush. Wow. I'm gonna have to incorporate that now in every tournament. Just shots. Yeah, yeah, I guess so, I guess so.",The payoff line: 'That was really fun. What a rush. I'm gonna have to incorporate that in every tournament.'
X051,3,CUT,00:32:31:04,00:33:06:23,35.83,0.65,"Oh, yeah. We didn't go. So go back to get some tickets to edit. Okay, so we're gonna come back. All right. I will see you later. Yeah. Have fun. I hit that. Business you work with. And then I'll ask…","Long stretch that does not move the story forward - repeated material, transit chatter or logistics."
K084,3,OPTIONAL,00:33:06:23,00:33:36:09,29.44,0.94,Okay. So you want to state your name and your company? Yeah. I'm Pierre Pierre Karam with Cedar Mount Developments. We we've done two projects with premium so far. And the most recent one finished tw…,Cedar Mount client testimonial - the only outside voice on what working with Premium is actually like. Substantive but formal.
K085,3,OPTIONAL,00:33:37:03,00:34:05:00,27.91,0.82,"Great. And who's the best in your team today at the at the golf event? I mean, it's it's a little bit it's a little bit of everything. I don't want to take all of them. You don't have to be modest. Y…",'You don't have to be modest' / 'I think I had some of the best drives' / 'We're keeping a real score.'
